epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,357.758,1.0236,0.69072,0.99797,0.7918,0.70325,0.75961,0.46081,1.46868,1.0271,1.24972,0.000198071,0.000198071,0.000198071
81,362.165,0.98035,0.67799,0.98495,0.78002,0.6969,0.74252,0.45184,1.47704,1.0408,1.2615,0.000189072,0.000189072,0.000189072
82,366.765,1.01076,0.677,0.98978,0.77938,0.7043,0.74612,0.44938,1.49044,1.03171,1.25477,0.000180073,0.000180073,0.000180073
83,371.166,1.02434,0.68327,0.99729,0.76821,0.70459,0.75044,0.44927,1.47562,1.01395,1.24971,0.000171074,0.000171074,0.000171074
84,375.586,1.00728,0.67293,0.99362,0.80158,0.69582,0.75542,0.45106,1.45305,1,1.24094,0.000162075,0.000162075,0.000162075
85,379.969,1.02214,0.67746,0.99785,0.74633,0.71371,0.75268,0.45613,1.46452,1.01499,1.24431,0.000153076,0.000153076,0.000153076
86,384.328,1.01383,0.66482,0.99495,0.80504,0.68244,0.76372,0.45782,1.47064,1.01429,1.2467,0.000144077,0.000144077,0.000144077
87,388.684,0.97642,0.66833,0.98687,0.75696,0.72178,0.76232,0.46281,1.47234,0.98666,1.24558,0.000135077,0.000135077,0.000135077
88,393.077,0.98351,0.65108,0.98688,0.81095,0.68864,0.75911,0.4577,1.48327,1.01924,1.26033,0.000126078,0.000126078,0.000126078
89,397.411,0.98454,0.66276,0.9873,0.7838,0.69622,0.7539,0.46019,1.47445,1.00422,1.25283,0.000117079,0.000117079,0.000117079
90,401.797,0.99375,0.64788,0.98939,0.78993,0.6794,0.74844,0.45779,1.47558,1.01385,1.26047,0.00010808,0.00010808,0.00010808
91,407.213,0.97892,0.67165,0.9842,0.78278,0.66553,0.72923,0.44629,1.4798,1.04814,1.25969,9.9081e-05,9.9081e-05,9.9081e-05
92,411.82,0.94487,0.62338,0.9601,0.79636,0.66714,0.74157,0.44917,1.48053,1.02909,1.264,9.00819e-05,9.00819e-05,9.00819e-05
93,416.136,0.92701,0.61118,0.96332,0.78708,0.68464,0.74333,0.45003,1.48567,1.02939,1.26698,8.10828e-05,8.10828e-05,8.10828e-05
94,419.774,0.93715,0.60419,0.96132,0.81539,0.68605,0.75346,0.45272,1.48536,1.01989,1.27157,7.20837e-05,7.20837e-05,7.20837e-05
95,423.428,0.92125,0.5961,0.95944,0.77388,0.70137,0.74772,0.45683,1.47941,1.02485,1.26221,6.30846e-05,6.30846e-05,6.30846e-05
96,427.076,0.92908,0.58224,0.95734,0.80389,0.67378,0.74236,0.45508,1.48433,1.03209,1.26758,5.40855e-05,5.40855e-05,5.40855e-05
97,430.836,0.93747,0.58696,0.95772,0.78642,0.68599,0.74597,0.45212,1.48604,1.03139,1.2691,4.50864e-05,4.50864e-05,4.50864e-05
98,434.511,0.90855,0.57473,0.94741,0.8142,0.67296,0.75202,0.45654,1.48254,1.02246,1.26234,3.60873e-05,3.60873e-05,3.60873e-05
99,438.15,0.88567,0.57631,0.94831,0.77417,0.69508,0.75255,0.45719,1.48472,1.01932,1.26336,2.70882e-05,2.70882e-05,2.70882e-05
100,441.788,0.88972,0.57196,0.94542,0.77922,0.70164,0.75145,0.45536,1.48716,1.02025,1.26717,1.80891e-05,1.80891e-05,1.80891e-05
